,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2526,2018-01-29,704.74,666.34,705.56,665.14,8236394.0,5637041971.0,6.764744,666.34
600519.XSHG,2527,2018-01-30,666.05,671.55,677.6,660.63,5736322.0,3852705098.0,6.764744,671.55
600519.XSHG,2528,2018-01-31,668.76,691.87,698.36,668.76,6674645.0,4601994781.0,6.764744,691.87
600519.XSHG,2529,2018-02-01,694.1,685.71,694.37,681.36,5589528.0,3846421613.0,6.764744,685.71
600519.XSHG,2530,2018-02-02,680.72,670.03,681.64,656.09,8334223.0,5583742782.0,6.764744,670.03
600519.XSHG,2531,2018-02-05,658.1,649.96,660.58,638.53,10939334.0,7104095616.0,6.764744,649.96
600519.XSHG,2532,2018-02-06,636.18,641.49,653.92,636.18,9742903.0,6270888575.0,6.764744,641.49
600519.XSHG,2533,2018-02-07,651.57,618.47,655.08,617.19,9756304.0,6231141116.0,6.764744,618.47
600519.XSHG,2534,2018-02-08,617.36,634.36,649.76,617.36,9216988.0,5860233484.0,6.764744,634.36
600519.XSHG,2535,2018-02-09,615.37,618.47,624.32,595.46,11666710.0,7160206330.0,6.764744,618.47
600519.XSHG,2536,2018-02-12,625.32,631.19,638.44,620.07,7092030.0,4466343242.0,6.764744,631.19
600519.XSHG,2537,2018-02-13,638.01,644.31,646.88,637.54,5899662.0,3793782378.0,6.764744,644.31
600519.XSHG,2538,2018-02-14,651.57,650.16,651.57,644.53,3387203.0,2198728707.0,6.764744,650.16
600519.XSHG,2539,2018-02-22,658.17,671.88,673.29,654.5,5609648.0,3717469267.0,6.764744,671.88
600519.XSHG,2540,2018-02-23,676.0,671.91,684.65,666.95,4216657.0,2844936758.0,6.764744,671.91
600519.XSHG,2541,2018-02-26,675.89,672.84,680.57,663.35,4824365.0,3243216345.0,6.764744,672.84
600519.XSHG,2542,2018-02-27,677.81,667.84,684.14,667.15,4707596.0,3181778842.0,6.764744,667.84
600519.XSHG,2543,2018-02-28,662.43,656.65,671.75,650.66,5340682.0,3522004686.0,6.764744,656.65
600519.XSHG,2544,2018-03-01,658.81,671.45,675.86,654.98,4949941.0,3303604159.0,6.764744,671.45
600519.XSHG,2545,2018-03-02,667.86,666.42,672.89,660.62,2872182.0,1912613830.0,6.764744,666.42
600519.XSHG,2546,2018-03-05,668.02,651.67,671.48,648.88,4114544.0,2703926955.0,6.764744,651.67
600519.XSHG,2547,2018-03-06,656.09,649.99,658.44,630.87,7135216.0,4581658583.0,6.764744,649.99
600519.XSHG,2548,2018-03-07,647.04,642.55,655.19,641.6,3822954.0,2480929043.0,6.764744,642.55
600519.XSHG,2549,2018-03-08,646.14,654.06,655.19,640.71,3906202.0,2540452000.0,6.764744,654.06
600519.XSHG,2550,2018-03-09,658.4,658.99,662.94,654.73,3333985.0,2199081672.0,6.764744,658.99
600519.XSHG,2551,2018-03-12,660.21,655.14,664.16,654.07,4407787.0,2900950557.0,6.764744,655.14
600519.XSHG,2552,2018-03-13,654.28,642.83,657.54,642.52,4262882.0,2764426996.0,6.764744,642.83
